title,control_title,Mod,priority,Recommendation Steps/Approach,COST,Unnamed: 6
CodeDeploy,Codedeploy deployment groups lambda allatonce traffic shift should be disabled,Compliance,p3,CodeDeploy deployment groups lambda allatonce traffic shift should be disabled: 1. Open the AWS CodeDeploy console. 2. Navigate to the deployment group settings. 3. Ensure that the deployment type is set to 'Canary' or 'Linear' to avoid all-at-once traffic shifts. https://docs.aws.amazon.com/codedeploy/latest/userguide/deployment-traffic-shifting.html,,
Config,Config configuration recorder should not fail to deliver logs,Compliance,p3,NOT YET ADDED,,
ECS,ECS cluster container instances should have connected agent,Compliance,p3,"Launch an instance using the Amazon ECS-Optimized AMI (which comes with the agent pre-installed) or manually install Docker, then pull and run the agent using Docker commands. Ensure your instance has the appropriate IAM role and security group settings to allow communication with the ECS service?.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs-agent-config.html",,
ECS,ECS clusters encryption at rest should be enabled,Compliance,p3,"Create or select a KMS key in the AWS KMS console and configure your ECS task definition to use this key for encrypting EBS volumes. Deploy your service with the updated task definition to ensure that all data stored is encrypted at rest.
Reference: https://docs.cgn.portal.checkpoint.com/docs/d9_aws_cry_19
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ebs-kms-encryption.html",,
ECS,ECS cluster should be configured with active services,Compliance,p3,"Navigate to the ECS console, select your cluster, and create a new service by specifying the launch type, task definition, and desired number of tasks. This allows you to manage and deploy your containerized applications effectively within the cluster.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs_services.html",,
ECS,At least one instance should be registered with ECS cluster,Compliance,p3,"Launch an EC2 instance using an ECS-optimized AMI and specify the ECS cluster name in the user data under Advanced Details. Once launched, the instance will automatically register itself with the ECS service, enabling it to run tasks.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs-anywhere-registration.html",,
ElastiCache,Elastic Beanstalk,Compliance,p3,NOT YET ADDED,Cost: None/$0 ,
IAM,IAM password policies for users should have strong configurations,Compliance,p3,"Review all IAM password policies for strong configurations in the AWS Management Console or through the IAM policy audit reports.  Review IAM password policy and ensure it includes requirements for complexity (uppercase, lowercase, number, symbol). https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html",Cost: None/$0 ,
IAM,IAM Security Audit role should be created to conduct security audits,Compliance,p3,Remove expired SSL/TLS certificates stored in IAM by auditing certificates through the AWS Certificate Manager. Create an IAM Security Audit role for conducting audits. Steps: 1. Define role permissions. 2. Create and assign the role. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_roles_create.html,Cost: None/$0 ,
KMS,KMS key should be in use,Compliance,p3,NOT YET ADDED,Cost: None/$0 ,
OpenSearch,OpenSearch domains should have at least three data nodes,Compliance,p3,NOT YET ADDED,Cost: None/$0 ,
OpenSearch,OpenSearch domains should be updated to the latest service software version,Compliance,p3,NOT YET ADDED,Cost: None/$0 ,
RDS,RDS Aurora PostgreSQL clusters should not be exposed to local file read vulnerability,Compliance,p3,NOT YET ADDED,Cost: None/$0 ,
RDS,RDS DB clusters should be configured to copy tags to snapshots,Compliance,p3,"Modify the RDS DB instance settings via the AWS Console by enabling the ""Copy tags to snapshots"" option under the backup settings
https://aws.amazon.com/about-aws/whats-new/2015/07/amazon-rds-resource-tags-can-now-be-copied-db-snapshots-of-rds-database-instances/",Cost: None/$0 ,
RDS,An RDS event notifications subscription should be configured for critical cluster events,Compliance,p3," configure Amazon RDS event notifications for critical cluster events. Start by navigating to the RDS console and selecting ""Event Subscriptions"" under ""Event Notifications."" Then, create a new subscription for your RDS DB cluster, choosing critical event types like availability, backup, and security. Link the subscription to an Amazon SNS topic to receive notifications. Once configured, activate the subscription to stay informed of any critical issues.
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Events.html",Cost: None/$0 ,
RDS,RDS DB instances backup retention period should be greater than or equal to 7,Compliance,p3,"To configure the backup retention period for your RDS DB instance to be greater than or equal to seven days, start by logging into the AWS Management Console and selecting the RDS instance in question. Click on ""Modify,"" then scroll to the ""Backup"" section. Here, set the ""Backup Retention Period"" to at least seven days. After making these adjustments, choose to apply the changes immediately or during the next maintenance window
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",Cost: None/$0 ,
RDS,RDS DB instances CA certificates should not expire within next 7 days,Compliance,p3,"To ensure that the CA certificates for your RDS DB instances do not expire within the next seven days, first, check the current CA certificate status by logging into the AWS Management Console and navigating to the RDS dashboard. Select your RDS instance and review the certificate information. If the CA certificate is set to expire soon, you will need to modify your RDS instance. Click on ""Modify,"" and under the ""Database Options,"" update the ""Certificate Authority"" to the latest version. After making the necessary changes, apply them immediately or during the next maintenance window to avoid disruptions
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.SSL.html",Cost: None/$0 ,
RDS,RDS DB instances connections should be encrypted,Compliance,p3,"To ensure that connections to RDS DB instances are encrypted, enable SSL (Secure Sockets Layer) for your database connections. Log in to the AWS Management Console, navigate to your RDS instance, and confirm that your application is configured to use SSL by providing the appropriate SSL certificate from AWS. Adjust your database connection string to include SSL parameters.
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/UsingWithRDS.SSL.html",Cost: None/$0 ,
