title,control_title,Mod,priority,Recommendation Steps/Approach,COST,Unnamed: 6
DLM,DLM EBS snapshot lifecycle policy should be enabled,Compliance,p2,DLM EBS snapshot lifecycle policy should be enabled: 1. Open the Amazon Data Lifecycle Manager (DLM) console. 2. Check the lifecycle policies for EBS snapshots. 3. Ensure that at least one policy is enabled for automatic management of snapshots. 4. Create or modify a policy as needed. https://docs.aws.amazon.com/dlm/latest/userguide/what-is-dlm.html,Cost: None/$0 ,
ECR,ECR repositories should have image scan on push enabled,Compliance,p2,"Open ECR console, select your repository, click ""Edit,"" enable ""Scan on push,"" and save changes. This ensures that images are automatically scanned for vulnerabilities upon upload.
Reference: https://docs.aws.amazon.com/AmazonECR/latest/userguide/image-scanning.html",,
ECR,ECR repositories should have lifecycle policies configured,Compliance,p2,"open the ECR console, select your repository, navigate to the ""Lifecycle policy"" tab, and create a policy by defining rules for image retention. This automates the management of container images, helping to optimize storage and organization.
Reference: https://docs.aws.amazon.com/AmazonECR/latest/userguide/lp_creation.html",,
ECS,ECS clusters should have container insights enabled,Compliance,p2,"Open ECS console and enable Container Insights in the monitoring settings of the cluster. This will allow you to monitor performance metrics like CPU, memory, and network utilization for better visibility and management of your containers.
Reference: https://docs.aws.amazon.com/AmazonCloudWatch/latest/monitoring/deploy-container-insights-ECS-cluster.html",,
ECS,ECS fargate services should run on the latest fargate platform version,Compliance,p2,"Navigate to the ECS console, select your cluster and service, and update the service to specify the latest platform version in the configuration. This enables your tasks to utilize the newest features and security improvements provided by AWS.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/platform-fargate.html",,
ECS,ECS services should be attached to a load balancer,Compliance,p2,"Navigate to the ECS console, select your cluster, and either create or update your service by enabling the Load balancer option and choosing an existing Application Load Balancer (ALB) or Network Load Balancer (NLB). Specify the target group during the configuration process and complete the creation or update to ensure traffic is distributed across your task instances.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/alb.html",,
ECS,ECS task definitions should have logging enabled,Compliance,p2,"Update your task definition in the ECS console and create a new revision. In the container definition, select awslogs as the log driver under the Log configuration section, specifying the log group and stream prefix for Amazon CloudWatch Logs.
Reference: https://docs.aws.amazon.com/AmazonECS/latest/developerguide/ecs-logging-monitoring.html",,
IAM,Ensure IAM password policy requires at least one lowercase letter,Compliance,p2,"Configure IAM password policy to require at least one lowercase letter: aws iam update-account-password-policy --require-lowercase-characters. Set IAM password policy to require at least one lowercase letter. Steps: 1. Navigate to IAM > Password Policy. 2. Enable ""Require at least one lowercase letter"". Documentation: https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html. ",Cost: None/$0 ,
IAM,Ensure IAM password policy requires at least one number,Compliance,p2,"Require passwords to contain at least one number in the password policy: aws iam update-account-password-policy --require-numbers. Set IAM password policy to require at least one number. Steps: 1. Navigate to IAM > Password Policy. 2. Enable ""Require at least one number"". Documentation: https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html. ",Cost: None/$0 ,
IAM,Ensure IAM password policy requires at least one symbol,Compliance,p2,"Ensure IAM passwords contain at least one symbol: aws iam update-account-password-policy --require-symbols. Set IAM password policy to require at least one symbol. Steps: 1. Navigate to IAM > Password Policy. 2. Enable ""Require at least one non-alphanumeric character"". Documentation: https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html. ",Cost: None/$0 ,
IAM,Ensure IAM password policy requires at least one uppercase letter,Compliance,p2,"Configure IAM password policy to require at least one uppercase letter: aws iam update-account-password-policy --require-uppercase-characters. Set IAM password policy to require at least one uppercase letter. Steps: 1. Navigate to IAM > Password Policy. 2. Enable ""Require at least one uppercase letter"". Documentation: https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html. ",Cost: None/$0 ,
IAM,Password policies for IAM users should have strong configurations with minimum length of 8 or greater,Compliance,p2,"Strengthen IAM password policies to require a minimum length of 8 or greater via AWS Console or CLI: aws iam update-account-password-policy --minimum-password-length 8. Set IAM password policy to require a minimum length of 8 characters. Steps: 1. Navigate to IAM > Password Policy. 2. Set ""Minimum password length"" to 8.  url:https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_passwords_account-policy.html",Cost: None/$0 ,
IAM,IAM groups should have at least one user,Compliance,p2,Ensure IAM groups have at least one user assigned by checking groups via aws iam get-group --group-name groupname. Audit IAM groups to ensure each group contains at least one user. Steps: 1. List all IAM groups. 2. Add users to any empty groups. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_groups.html,Cost: None/$0 ,
IAM,IAM AWS managed policies should be attached to IAM role,Compliance,p2,Attach AWS-managed policies to IAM roles through the IAM roles section in the AWS Console or using CLI commands like aws iam attach-role-policy. Ensure that IAM roles are using AWS managed policies where applicable. Steps: 1. Review IAM roles. 2. Attach relevant AWS managed policies. https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html,Cost: None/$0 ,
IAM,IAM policy should not have statements with admin access,Compliance,p2,Remove unused IAM policies through regular audits to ensure only active and necessary policies are kept. Review all IAM policies to ensure no statements grant admin access. Steps: 1. Audit policies. 2. Remove any admin access statements. https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html,Cost: None/$0 ,
IAM,IAM policy should be in use,Compliance,p2,Ensure IAM roles do not allow read-only access to external AWS accounts by reviewing role policies through aws iam list-attached-role-policies. Ensure all IAM policies are actively in use. Steps: 1. Review policies. 2. Remove any unused policies. https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html,Cost: None/$0 ,
IAM,Ensure IAM role not attached with Administratoraccess policy,Compliance,p2,Remove unused IAM roles that haven't been used in 60 days or more using aws iam list-roles. Review IAM roles to ensure they are not attached to the AdministratorAccess policy. Steps: 1. List all IAM roles. 2. Detach the policy from any role where applicable. https://docs.aws.amazon.com/IAM/latest/UserGuide/access_policies.html,Cost: None/$0 ,
IAM,IAM root user should not have access keys,Compliance,p2,Create an IAM Security Audit role to conduct regular security audits of the AWS account via AWS IAM Console. Ensure the IAM root user does not have any access keys. Steps: 1. Check the root user settings. 2. Remove any access keys associated with the root user. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys.html,Cost: None/$0 ,
IAM,Ensure that all the expired SSL/TLS certificates stored in AWS IAM are removed,Compliance,p2,Create a support role for managing incidents with AWS Support through AWS IAM Console. Audit IAM for any expired SSL/TLS certificates and remove them. Steps: 1. List all certificates. 2. Identify expired ones. 3. Delete expired certificates. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_managing_server-certs.html,Cost: None/$0 ,
IAM,Ensure IAM users with access keys unused for 45 days or greater are disabled,Compliance,p2,Assign both access keys and passwords when setting up new IAM users through AWS Console.  Audit IAM users and disable those with unused access keys for over 45 days. Steps: 1. List IAM users with access keys. 2. Disable those unused for 45 days. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys.html,Cost: None/$0 ,
IAM,IAM users with console access should have MFA enabled,Compliance,p2,Disable console access for users who have not logged in for 45 days or more using aws iam update-login-profile. Enforce MFA for all IAM users with console access. Steps: 1. Review IAM users with console access. 2. Enable MFA for all users. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa.html,Cost: None/$0 ,
IAM,IAM users should have hardware MFA enabled,Compliance,p2,Ensure that IAM users are part of at least one group using aws iam add-user-to-group. Ensure all IAM users are equipped with hardware MFA. Steps: 1. Review user MFA settings. 2. Enable hardware MFA for all users. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa.html,Cost: None/$0 ,
IAM,IAM user MFA should be enabled,Compliance,p2,Ensure IAM users do not have inline or attached policies through regular audits and policy reviews. Enforce MFA for all IAM users. Steps: 1. Review user settings. 2. Enable MFA for users without it. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_mfa.html,Cost: None/$0 ,
IAM,Ensure credentials unused for 45 days or greater are disabled,Compliance,p2,Disable IAM user credentials that have not been used in 90 days using the AWS Console or aws iam list-access-keys.  Audit IAM credentials to disable those unused for 45 days. Steps: 1. Review access keys and passwords. 2. Disable any unused for 45 days. https://docs.aws.amazon.com/IAM/latest/UserGuide/id_credentials_access-keys.html,Cost: None/$0 ,
RDS,RDS DB clusters should have automatic minor version upgrade enabled,Compliance,p2,"Modify the DB instance settings, and enable ""Auto Minor Version Upgrade"" under the maintenance settings. Official documentation can be found in the AWS RDS Documentation.
https://docs.aws.amazon.com/config/latest/developerguide/rds-automatic-minor-version-upgrade-enabled.html",Cost: None/$0 ,
RDS,RDS DB instance and cluster enhanced monitoring should be enabled,Compliance,p2,"Enabling Enhanced Monitoring for your Amazon RDS DB instances and clusters is crucial. Enhanced Monitoring provides real-time metrics on database performance, including CPU, memory, and disk usage, which helps in proactive monitoring and issue resolution. To enable it, you can configure Enhanced Monitoring during the creation of a new RDS instance or modify an existing one via the AWS Management Console or CLI by selecting the desired monitoring interval.
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/USER_Monitoring.OS.html",Cost: None/$0 ,
RDS,RDS DB instances should have deletion protection enabled,Compliance,p2,"To enable deletion protection for your RDS DB instances, log into the AWS Management Console, navigate to the RDS dashboard, and select the DB instance you want to protect. Click on Modify, and under the Deletion Protection section, set it to Yes. Save the changes and apply them immediately or during the next maintenance window
https://docs.aws.amazon.com/AmazonRDS/latest/UserGuide/Welcome.html",Cost: None/$0 ,
